"Name","Years","Gender","Dept","Salary","JobSat","Plan","Pre","Post"
"Ritchie, Darnell",7,"M","ADMN",43788.26,"med",1,82,92
"Wu, James",,"M","SALE",84494.58,"low",1,62,74
"Hoang, Binh",15,"M","SALE",101074.86,"low",3,96,97
"Jones, Alissa",5,"F",,43772.58,,1,65,62
"Downs, Deborah",7,"F","FINC",47139.9,"high",2,90,86
"Afshari, Anbar",6,"F","ADMN",59441.93,"high",2,100,100
"Knox, Michael",18,"M","MKTG",89062.66,"med",3,81,84
"Campagna, Justin",8,"M","SALE",62321.36,"low",1,76,84
"Kimball, Claire",8,"F","MKTG",51356.69,"high",2,93,92
"Cooper, Lindsay",4,"F","MKTG",46772.95,"high",1,78,91
"Saechao, Suzanne",8,"F","SALE",45545.25,"med",1,98,100
"Pham, Scott",13,"M","SALE",71871.05,"high",2,90,94
"Tian, Fang",9,"F","ACCT",61084.02,"med",2,60,61
"Bellingar, Samantha",10,"F","SALE",56337.83,"med",1,67,72
"Sheppard, Cory",14,"M","FINC",85027.55,"low",3,66,73
"Kralik, Laura",10,"F","SALE",82681.19,"med",2,74,71
"Skrotzki, Sara",18,"F","MKTG",81352.33,"med",2,63,61
"Correll, Trevon",21,"M","SALE",124419.23,"low",1,97,94
"James, Leslie",18,"F","ADMN",112563.38,"low",3,70,70
"Osterman, Pascal",5,"M","ACCT",39704.79,"high",3,69,70
"Adib, Hassan",14,"M","SALE",73014.43,"med",2,71,69
"Gvakharia, Kimberly",3,"F","SALE",39868.68,"med",2,83,79
"Stanley, Grayson",9,"M","SALE",59624.87,"low",1,74,73
"Link, Thomas",10,"M","FINC",56312.89,"low",1,83,83
"Portlock, Ryan",13,"M","SALE",67714.85,"low",1,72,73
"Langston, Matthew",5,"M","SALE",39188.96,"low",3,94,93
"Stanley, Emma",3,"F","ACCT",36124.97,"high",2,86,84
"Singh, Niral",2,"F","ADMN",51055.44,"high",2,59,59
"Anderson, David",9,"M","ACCT",59547.6,"low",1,94,91
"Fulton, Scott",13,"M","SALE",77785.51,"low",1,72,73
"Korhalkar, Jessica",2,"F","ACCT",62502.5,,2,74,87
"LaRoe, Maria",10,"F","MKTG",51961.29,"high",2,80,86
"Billing, Susan",4,"F","ADMN",62675.26,"med",2,91,90
"Capelle, Adam",24,"M","ADMN",98138.43,"med",2,83,81
"Hamide, Bita",1,"F","MKTG",41036.85,"high",2,83,90
"Anastasiou, Crystal",2,"F","SALE",46508.32,"low",2,59,71
"Cassinelli, Anastis",10,"M","FINC",47562.36,"high",1,80,87
